Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1390,1,0.1895,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",코로나로 외국인 노동자들 못들어와 지금 농촌은 부부 기준 월급이 까지 치솟았다 젊은이들 나름 대학나왔다고 본인능력은 생각안하고 편하고 깨끗한 근무 환경만 찾는다 부모급여 월 만원 준다고 출산율이 오를까 자식 낳아 키우는것도 걱정이고 주거도 해결되야된다 물론 신혼부부 전세대출이 있다지만 맞벌이나 되야 이자내고 자식 키울수있는 정도다 언제 모아 집장만 하나,영아수당 지급
16,1,0.1732,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",일하는사람은 쎄빠지게 일하고 세금내고육휴급여 받으니 못준다 이러고집에 있는사람은 육휴 못받으니부모급여주겠다이게 무슨말인가요진짜 일하는사람만 손해고일 안하고 집에 있어야 나라에서 돈 주니까일 왜하는지 모르겠네요,영아수당 지급
123,1,0.1461,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",그냥 젊은 부부는 일하지 말고 애들이나 낳고 키우라하고 월급을 주지세상 참 살기 힘드네 죽으라 열심히 사는 사람은 세금이나 많이 내라고 하는건지 열심히 사는사람이 봉이야위장이혼해서 한부모 해택 받고 사는 사람 기초생활수급자 라고해서 일 안하고 놀고 먹는 사람이 주위에 얼마나 많은지 조사는 하지도 않고 서류만 보고 세금을 다 쓰고 있으니 답답하다나라 세금을 자기 돈처럼 팍팍 풀어주고 인심을 얻으려고 하니 나라가 어떤 꼴로 돌아가고 있는지 한심하다,영아수당 지급
1393,1,0.1461,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",돈만주면청년들도일할줄아나보지 그돈으로코인하지,영아수당 지급
1233,1,0.1358,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",이런 의미없는 지원 필요없다고등학교 동창 취업 한번 안하고 집 주변에는 자격증 공부하는척 수험생 신분으로저런거 받아서 타이중국 전세계 마사지 다닌다,영아수당 지급
1207,1,0.1341,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",불건전 시민단체 정치적 강성단체들의 지원을 잘라 정말 취약계층에 보다많은 예산반영이 이루어졌음 하네요,영아수당 지급
6,1,0.1318,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",일한다고 안주면 누가 일하냐 이 놈의 지원금은 일하며 꼬박꼬박 세금 내는 사람은 쥐뿔도 없음,영아수당 지급
1139,1,0.1272,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",부자한테 좋은대통령 아이부모와 서민들한테는 극악한대통령 근데왜 노인들은 좋아할까요,영아수당 지급
1196,1,0.1254,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",왜 대가 내자식도 아닌 멀쩡한 청년들을 먹여살려야 되는건지 미쳐돌아가고 있구만 상식적으로 이해가 안감,영아수당 지급
2054,1,0.1252,"사람, 일, 안, 누가, 주지, 부부, 세금, 원금, 짓, 도대체",중복  그럼 다 그만두고 경력단절 되라고 ,영아수당 지급
