Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1342,5,0.1562,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",자립하기 어려운 노인들 기초노령연금이나 묻지도 따지지도 말고 줘야지 저런건 왜 소득 안따지는데,영아수당 지급
1110,5,0.1318,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",당대표 찍어내리기 전정권이 추진하던일 멈추고 딴지걸기 세계언론앞에서 막말하기에 이어 언론사 탄압하기 고등학생의 풍자를 이해못하고 제재하기 헌정역사상 최고의 대통령이신 우리 윤석열댓통년님께서 하신 위대한 업적이다 또 뭐있냐,영아수당 지급
721,5,0.127,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",집값 미친듯이 올려놓고 임대차법으로 전세가도 폭등시켜서  청년들은 이생망 외치며 월세들어가 사는데 뭐 도움 사람 놀리는건지 아님 진짜 제정신이 아닌건지 백성들은 전쟁터로 몰아놓고 말만 그럴싸하게 해놓고 지는 도망간 아주 얍삽한 선조가 조선시대에만 있는게 아니다,영아수당 지급
1030,5,0.1215,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",복지예산 몽땅삭감하여  아방궁 짓는데 투자,영아수당 지급
1023,5,0.1209,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",하여튼 군대도 안갔다와 자식도 안키워봐 대통령도 처음해봐 저 모자란 놈이 관심있는거라고는 오직 집무실하고 관저 그나저나 세종 대통령 집무실 신축 억이라며 진짜 지을건가,영아수당 지급
1200,5,0.1093,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",고아원 청년들 자립수당이나 크게 챙겨줘라 노는쟤들은 일좀 하라 그러고,영아수당 지급
1031,5,0.109,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",진짜 저중에 보면 대다수가 번 찍었을텐데 저러고 이제와서 후회하니 참 답답하네요 진짜 모르고 뽑았나요 윤석렬이 되면 뭔가 다 달라질꺼라 믿었나요 참 답답한 사람들 많네요 아직 년도 안되었는데 나라가 이지경입니다 앞으로 년 반을 더 견뎌야겠죠 진짜 이번에 번 뽑은 분들고령 노인들 말고 제발 정신 좀 차리시기 바랍니다,영아수당 지급
1434,5,0.1032,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",국민의 대 의무 중에 근로의무가 있다공단 가봐라 일 할 사람이 없어서 사람을 못 구한다,영아수당 지급
794,5,0.1014,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",병장수당은 없나요,영아수당 지급
680,5,0.1014,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",문재인 이사람은 사형당하는 순간까지 아집부릴것 같아요,영아수당 지급
1022,5,0.1014,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",함량미달 윤석열에 알고 도 뽑았잖나 왜들 그래 윤석열 찍은 사람들을 뭐라고 할까 공동정범 즉 공범이라는 거야,영아수당 지급
1922,5,0.1014,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",결혼해서 가정을 꾸리고 후세를 만들 능력도 안되는것들이 열폭하네ㅋㅋ 니들은 세금도 거의 안내자나ㅋㅋㅋ,영아수당 지급
83,5,0.0979,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",헐 돈 좀 그만 퍼가라  그게 윤석열 너 돈이니맨날 선심성정치한다고 비판하더니 윤석열 너는 나라 망하게 나랏돈 퍼나르는 도둑 지지율올리려고 막 가져가,영아수당 지급
1669,5,0.0977,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",머리가 너무 나쁘다진짜서울시민들 반성해라,영아수당 지급
1723,5,0.0977,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",차라리 그돈 모으고 모아서 공공아파트를 특공으로 한채라도 평이상으로 다 뿌려라,영아수당 지급
1444,5,0.0963,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",이걸 왜 하는거야,영아수당 지급
1489,5,0.0947,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",청년에게 주지말고 결혼이라도 하면 주던가,영아수당 지급
1882,5,0.0932,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",이건 뭔  소리냐  정책 이란걸 발표할 때마다 허파가 디비지노,영아수당 지급
773,5,0.0919,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",차라리 다자녀 주택구입시 이자를 저렴하게 해주는게 낫겠어요,영아수당 지급
1718,5,0.0919,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",보육원 보호기간 종료후 만원 들고나와서  새출발해야하는 스무살 새내기들의 슬픈뉴스가 연일 보도되고있다 진짜 절실한곳이 어딘지 알고  혈세 사용해라 참 어이없다,영아수당 지급
34,5,0.0919,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",현장 필드 테스트도 제데로 거치지 않고 무조건 가동시킨 정신 나간 책임자는 어떤 인간이냐죄송하다고만 할게 아니라 해임해라,영아수당 지급
1247,5,0.0901,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",저 부모수당을 악용할까봐 너무 걱정된다,영아수당 지급
1055,5,0.0901,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",하아 애를 낳아보고 키우봤어야 알지ㅉㅉ,영아수당 지급
48,5,0.0901,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",오류라 진짜 진짜 누가 빼묵은거 아니냐,영아수당 지급
1620,5,0.0901,"나라, 진짜, 인간, 놈, 저, 정말, 데, 윤석열, 정신, 확인",퍼주기 하지말라고 너 뽑은거다 이게 뭐냐,영아수당 지급
