Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
29,15,0.1615,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",직장안다녀야 부모급여 주는거라면직장다니는 여자들이 굳이 애를 낳으려고 할까요육휴나 부모급여나 다를바가 없는데주부들만 부모급여 준다면 누가일 그만두고 애낳으려고 할까요,영아수당 지급
18,15,0.1524,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",차별해서 주면 부모급여 재정적지원 부담이 줄어든다는것은 이해하지만 직장을 다니고 있는 예비엄마로서  육아휴직 급여와 기간이 늘어난 것도 아닌데  부모급여마저 직장인 엄마에게는 중복급여가 안된다하니 국가에서 직장을 다니고 있는 엄마에게 어떠한 혜택을 충분히 주고 있는지  와닿지 않아요  모든 엄마들이 아이를 가지고 싶어하는 출산 장려의 바람직한 정책인가요,영아수당 지급
117,15,0.1487,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",월급은 안오르고 물가올라 다니던 학원도 줄이는 마당에 남의자식 키우는데  세금내서 부모급여 준다고 이런 개같은 경우가 있나요  월급쟁이 보다 훨 잘사는 사람들도 부모급여 받는다는소리 미친 정부   그동안 못받은 부모수당 우리도 소급해줘라,영아수당 지급
3,15,0.1446,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",세금 내고 일하는 워킹맘이 죄인인가 부모급여 줄 것처럼 언플해서 원래 지자체에서 자체적으로 주던 지원금까지 끊겼다 육아휴직 수당 받아도 원래 받던 월급에 한참 못 미치는데 여기에 부모급여까지 안 주면 신생아 맡기고 빨리 복직하라는 소리 밖에 더 됨 육아휴직 수당 상한선을 높이던지 신생아라서 필수적으로 엄마들이 휴직해야 하는 시기에 경제적으로 지원도 안해줄 거면서 무슨 애를 낳으라고,영아수당 지급
787,15,0.1322,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",애기 키우는 집 이면 저런 소리가안나올텐데,영아수당 지급
576,15,0.1296,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",결혼하느라 돈 써서 돈이 제일 없기도 한 시기입니다 저시기에 지원받으면서 열심히 돈 모아서 나중에 보태쓰면 되는 것을아무래도 결론은 나도 주세요 인듯,영아수당 지급
425,15,0.1281,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",나라 빚이 조 조 더 늘려서 인심 쓰고 비자금도 챙길듯,영아수당 지급
1389,15,0.1242,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",대는 동물 농장 젖소 같구나 우리 안에 갇혀서 오직 근로소득 그나마 평이하고 대라는 이유만으로 청년 및 노인에게 경제적 수혈을 해주니 말이다 노인들은 우리 세대의 기반이고 어르신이니 당연하다고 생각은 든다만 한 창 경제적 활동을 해야만하는 청년들에게 우리가 낸 세금으로 경제적 수혈을 해준다는게 이해가 되지 않는다,영아수당 지급
1070,15,0.1189,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",고위공무원 월급이랑 대통령실 예산만 제외하고 전부 삭감해버리네,영아수당 지급
1217,15,0.1149,"부모, 급여, 월급, 자식, 육아휴직, 중, 하나, 무슨, 지원, 직장",일하지 않은 자 먹지도 말라,영아수당 지급
