Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
285,6,0.1575,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",에긍 쫀쫀하게 주지말고 그냥 애 낳으면 월 만원씩 줘라 둘째 낳으면 월 만원 세째 낳으면 만원 년이 가기전에 대한민국은 토끼같은 해맑은 어린이 들로 전국이 바글바글  년이 가기전에 억 클럽에도 가입할 수 있다 아울러 얍쌉하게 시집도 안가고 애도 안 낳은 처자들에게는 독신세 신설해서 급여의 를 몰취하고 그돈으로 재원 만들고 이렇게 간단한 일을,영아수당 지급
50,6,0.1519,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",조두순도   만원 받는데 공무원 년 해괐자 만원도 안나오고 노령연금도 안나온다  공무원 년 이하 재직한 사람은 노령연금 받을수 있게 해라,영아수당 지급
347,6,0.1459,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",정신 나간새키들이네 ㅋㅋㅋㅋㅋㅋ 닭이 먼저냐  달걀이 먼저냐 대가리 똥만 찬 새키들이 한쪽으로만 치우쳐서 쳐먹고 자빠져 잘 집이 없는데 누가 결혼해  결혼을 해야 애들 낳지 집이   학고방 수준의 아파트도 억이 넘는데  애를 어디서 낳냐 조삼모사도 아니고 정확하게 말할께 요즘 냄비들는 집 없으면 시집 안올라한다 그럼 짬지들이 몇십억 가지고 결혼해야 하는데 만원 받자고 몇십억을 쓸 이유가 없어서다 노콘에 막 싸대는 사람들 빼곤 애를 어떤 졷 ㅂ ㅅ이 낳냐,영아수당 지급
561,6,0.133,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",세는 도대체 모냐임산부를 말하는거냐태어나면 한살인데,영아수당 지급
295,6,0.1296,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",친일파 한민당의 후예들인 민주당놈들과 중국 이민자 후손인 문재앙이 부동산 또 건드려서 집 값 열나게 많이 올려서 집 대출 내서 산 영끌들이 지금 곡 소리나고 이러는데 누가 결혼을 함 ㅋㅋㅋ 이게 다 친일파 민주당 때문이다 깔깔깔,영아수당 지급
537,6,0.1278,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",물고기 말고 물고기 잡을수 있게 해줘요,영아수당 지급
341,6,0.1275,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",이미 결혼한 사람들 말고 결혼 할 가능성이 있는 결혼 적령기의 청년들이 시집장가 갈 수 있는 정책을 만들어라 결혼 하고 싶어도 결혼 못하는 사람들이 줄을 섰다,영아수당 지급
662,6,0.1254,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",왜이런건 선거때가 돼야 연구하고 구성하냐,영아수당 지급
859,6,0.125,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",공무원이나 좋겠네,영아수당 지급
2039,6,0.1232,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",직업이없는데 돌봄비용을 지급하는것이 맞나요 이미 영유아 보육비용이 있는데 목적이 불분명합니다  돌봄비지급과 출산율과는 크게 관계가 없을것같은데요 좀더 필요한데 세금을 쓰세요,영아수당 지급
93,6,0.1232,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",집  이나  많이  지어 집 값이  싸야지  출산률이  높아진다는게  증명되있는데  뻘짓하지  말고  집이나  지어라,영아수당 지급
653,6,0.113,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",천씩주고 세까지 만원 양육비 지급해라대보험 다올리고 물가상승은 정치인들 너희가 해놓고  산모한테 만원주냐혁명하자  다 쓸어 없애자,영아수당 지급
611,6,0.1129,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",아이돌봄 지원 확대 좀 부탁드림,영아수당 지급
14,6,0.1111,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",교육비가 문제야 우리나라 교육이 문제라고 세입학이니 학력고사 한다는 소리고 어이없는데 만세부모급여 만원 참 그돈받으려 애낳겠냐 앞으로 아이 명당 대학까지 년 최소 기본억든다는게 현실이야 탁상행정 그만하라고 그러니 정치인들 공무원들 매날 욕먹는거야 현실성없는 퍼주기 생색내기식 예산써서 세금낭비 그세금부담은 돌고돌아 다시 만원받은 애낳은 부모몫이고 국민들 몫이야 자기돈으로 생색내는척 하지마국민들 기부하는거마냥 세금으로 혈세를 그리 쓰지 좀 마앞으로 용산집무실이전 관련 몇조  들어가려는지,영아수당 지급
1816,6,0.109,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",아동수당 십마넌주면서ㅋㅋㅋ키우는 부모한테나주세요,영아수당 지급
961,6,0.109,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",쥐꼬리 월급받는다고 혜택 하나도 못받네,영아수당 지급
838,6,0.107,"만원, 집, 년, 결혼, 월, 값, 공무원, 보고, 때문, 아기",주지말고 아기용품들 가격좀 줄여라  분유랑 기저귀값 왤케 비싸냐 작년에 낳은 사람은 혜택못받고 시작하고 변경되면 그때 낳으라는건가,영아수당 지급
