Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1007,2,0.2402,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",문재앙처럼 대통하고싶어 저러나 빛이 지금 얼만데 저러노,영아수당 지급
1008,2,0.2238,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",하루 일정 계획표에 짜여진 대통령 코스프레 할뿐 정작 예산 다 삭감하고 이사비 관저공사 경호비 등 두사람을 위해 세금을 다 쓸뿐청소년 자립 어쩌고 찾아간 후 청년예산 삭감 어린이집 찾아가 후국공립 어린이집 지원예산 삭감 추석날 장병들 찾아간 후 장병 예산 삭감 병영생활관 예산을 대통령실 이전비용으로 사용 범죄와의 전쟁 선포하고 경찰 수사 예산 삭감 형사들까지 개인 경호 인력으로 사용 국국의날 행사 하고국방부 축 예산 삭감 무정부가 답이다 ,영아수당 지급
1044,2,0.1886,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",찍들아 점마 저거는 애를 낳아서 키워본적이 없는 인간이다ㅉㅉㅉㅉ,영아수당 지급
1060,2,0.1426,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",맘카페 찍들아 죽어,영아수당 지급
928,2,0.1343,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",소상공인 빚탕감에그냥 막 퍼주고 나라 망하게 하자는 거지여 열심히 아끼면서 빚 갚으면서 살아온 일반 서민들 허탈하게 하는구나 코로나 시국에 소상공인만 힘들었냐 회사 부도로 실직자되어 힘들게 산 일반 국민들은 왜 무시하는데,영아수당 지급
1072,2,0.121,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",이놈의 정부는 뭣 좀 했다고 하면죄다 삭감임,영아수당 지급
1036,2,0.119,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",이 정부처럼 미래에 투자안하는정부는없을것같다,영아수당 지급
1180,2,0.1168,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",지들이 좋다고 싸 질러 놓고선 왜 자꾸 국가 한태 난리야능력 안되면 낳지를 마 그게 자본주의야,영아수당 지급
1009,2,0.1111,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",서민예산 줄이고 국방예산줄이고 국산 무기개발비 줄이고 과학기술 예산 줄이고 공무원 월급 줄이고  영유아 및 어린이 집 지원 예산 줄이고  그리고 청와대 예산 늘리고  대통령 관저 리모델링비 늘리고 검찰 예산은 절대적으로 늘려라  이것이 욕성렬의  뜻이니라,영아수당 지급
1119,2,0.1092,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",ㅋㅋㅋㅋ 찍어줬음 아닥해라  니들무덤 니들이 판겨,영아수당 지급
1025,2,0.1076,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",윤썩렬 말을 믿는니 장제원 아들이 술끊고  음주운전 안하다는 말을 믿겠다 또한 권성동이가  급 심어주는건 끊었다는걸 믿겠다,영아수당 지급
1154,2,0.107,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",괜찮아 어찹 니들이 뽑았어,영아수당 지급
1077,2,0.107,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",이번 대선 총선 투표장에가서 번 꾸욱 찍고선  기분좋았지  그럼 그냥 즐겨 욕하지들말고,영아수당 지급
321,2,0.1059,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",출산하라고 정해진 예산에서 일부빼서 출상장려금처럼 주네그렇게 되면 다른 복지예산에서 기존에 지급하던돈이 없어진다 뭐를 하는것만 다루지말고 뭐를 해서 다른곳에서 없어진것을 좀 다뤄라 어린이집 보조금도 기존 양육수당도 다 줄이면서그런건 안다루네 피자파이가 받은 예산이라면 한쪽에 많이 주면 당연히 한쪽에는 적게 받는다 이번 정권은 정말 최악이다,영아수당 지급
1064,2,0.1056,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",윤또라이가 하는 일이 다 글치요 빨리 끌어 내리는게 상책이다,영아수당 지급
1137,2,0.1051,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",하루 빨리 탄핵이 되었으면 좋겠다나라 돌아가는게 참 어처구니 없네,영아수당 지급
1073,2,0.1051,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",풋 어딜 찾아가면 예산 삭감이네요 대통령 온다고 하면 삭감여부 먼저 확인하세요,영아수당 지급
1088,2,0.1032,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",청와대 이전에 따른 도미노 이전 예산 마련하느라 여기저기서 쏙쏙 다 깍았나보군 모지리,영아수당 지급
1140,2,0.1032,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",진짜 국민들 바보로 본다 뽑은 국민들이 바보지 맨날 자고 일어나면 거지말이야 그래서 정치하는 사람들 뽑을때 기준이 애기 없는사람 결혼안한사람 군대미필자 이혼안사람 대원칙을 지켜야한다 우리국민들이 뭘했봐야 알지,영아수당 지급
672,2,0.1015,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",백신패스나 중단하세요,영아수당 지급
1019,2,0.1014,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",자식을 안 낳아본 넘이라 그런가 저리도 꼬물꼬물 예쁜 아이들 교육비 간식비 예산을 깍고  이래 지들 집무실 살림집은 호화판으로 예산 쓰면서  진짜 미친인간 더러운 욕 나오는데 참는다,영아수당 지급
1138,2,0.0996,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",예산증액은 용산대통령실과 대통령실 공무원 관저공사 빼고는 다 삭감이네  삭감한 돈은 어디에 쓰려나,영아수당 지급
1182,2,0.0994,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",집단보육 딱 공산당 양육비주고 부모가보는게 맞다 남의손에서  누가 잘보겠냐,영아수당 지급
1183,2,0.099,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",한국일보 또 선전선동한다 얘들이 없어 당연히 아이들 숫자가 줄으니 예산도 줄지 안그래 한국일보 기자수 몇명이냐 내년에 니들 기자수 반으로 줄면 전체 인건비는 오르길 바라니,영아수당 지급
44,2,0.0968,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",청년이건 노인이건 관련 복지예산을 어마무시하게 삭감중인 윤모지리와 국짐당 게다가 부자감세는 바로바로 진행하고 전기세수도세가스세를 바로 올려 서민증세함 맨날 국민국민거리면서 하는 짓은 그냥 서민착취,영아수당 지급
894,2,0.0963,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",각종수당 주면 뭐하냐  진짜 필요한 계층에 지원이 되아야지  한달에 만원 주면 머하냐 부모 직장구하기가 하늘에 별따기인데 차라리 그 예산으로  유치원 무상교육이 현실적이다,영아수당 지급
1109,2,0.0963,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",오직 지들만의 아방궁짓기놀이에 푹빠져있지다른건 아몰랑,영아수당 지급
2059,2,0.0949,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",선별적으로 주려거든 소득기준으로 해야죠 맞벌이 하는 이유가 외벌이로는 힘들어서인데 외벌이가 오히려 맞벌이보다 소득기준 높기도 하거든요 애매하게 선별적복지 할바에는 보편복지로 하는게 낫다고 봅니다,영아수당 지급
1197,2,0.0947,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",이 국가는 일하는 사람들만 바보로 만드는 이상한 국가다 함든일 하기 싫고 일할 의지없이 집애서 게임만하고 만 보고 누워 있는 사람들에게 무슨 용돈주듯이 챙겨주는지,영아수당 지급
1018,2,0.0944,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",어린이집 초등학교 미숙아 노인예산 다 깎았단다 왜냐고 부자들 세금깎아줘야 되니깐,영아수당 지급
492,2,0.0937,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",자녀가 많으면 더 줘라 현금지원이 말도 많지만 가장 현실적이라,영아수당 지급
1853,2,0.0919,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",차라리 영유아가 있는 가정에 세금혜택이나 추가적인걸 시행 하는거면 모르겠다만 이건 아니지 인과관계를 어떻게 증명할것이며 내 세금이 아이들을 위해서 직접적으로 쓰인다면 모를까 어째서 아이부모들이 감당할 문제를 국민세금으로 처리하려드는것인가,영아수당 지급
1175,2,0.0919,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",굥쳤네,영아수당 지급
1012,2,0.0919,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",입만 열면 욕 아니면 거짓말  이게 대한민국 대통령입니다,영아수당 지급
1228,2,0.0901,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",윤씨 진짜 탄핵이 답이다,영아수당 지급
273,2,0.0901,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",각종 시민단체들에게 들어가는 모든 쓸데없는 예산을 이런 복지예산으로 전환강화해야 한다,영아수당 지급
1029,2,0.0901,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",영빈관 짓는데 써야지 애들한테 쓸 돈이 어디있냐,영아수당 지급
1091,2,0.0901,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",그돈들 줄여서 한남각 지어야지 마담과 법사가 그러라는데 초빼기 기둥서방이 어쩌겄어,영아수당 지급
664,2,0.0893,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",집값이 배로 올랐는데 푼돈 쥐어주고 국민 삶 도움 ㅋㅋㅋㅋㅋㅋㅋㅋ 출산율 혼인율 바닥 만들어놓고 진짜 면상 두껍다 ㅜㅜㅜㅜㅜㅜ 제발 곱게 죽지 마세요 재인씨 ,영아수당 지급
1047,2,0.0889,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",겉과 속이 이렇게도 틀린가 이러고도 그자리에 오래갈거 같나 한심하다  국민들이 완전 속았지ㅜㅜㅜ 정말 최악이다,영아수당 지급
1917,2,0.0885,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",니 자식은 니가 키우세요 사회에다 바라지 마시고,영아수당 지급
1069,2,0.0885,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",믿을놈이 없어서 좋빠커를 믿냐 아이고 이 모지리들,영아수당 지급
976,2,0.0885,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",서울사는 부부만 주겠네 대부분 신혼부부들 집값때문에 경기도 에 살지 않냐 나는 그렇다,영아수당 지급
1011,2,0.0885,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",그러게 왜 번 찍으셨어요,영아수당 지급
1164,2,0.0881,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",이렇게 될줄 몰랐던게 ㄹㅈㄷ,영아수당 지급
1942,2,0.0881,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",기준중위소득ㅋㅋㅋㅋㅋ거지들을 위한 제도네,영아수당 지급
1573,2,0.0881,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",일자리 구하라고 주는지원금인데 청년들은 이걸 악용한다는생각은 안하는건지표받을려고하는 기업가생각인듯대한민국나라로 장사하시는것같네요청년실업  일자리없다고 징징대는데구인구직사이트에 일자리 차고넘치는데 힘들어서안하는건 생각안하시나요정치하시는분들도 어려운시대 살아보셨는데왜 일자리 가많은데 일을안하려고하는지나라에서 돈주니까요,영아수당 지급
1459,2,0.0881,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",청년수당 그 청년들 다수가 그돈 받으면 뭐할까 나라가 어려운 시절에 베트남 에서 목숨걸고 외화벌이 한 그 청년들은 잊은거냐,영아수당 지급
1605,2,0.0877,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",보육교사처우 인권이나 좀,영아수당 지급
1343,2,0.0877,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",윤석열좀  빨리좀 탄핵시켜라 진짜  더이상  못봐주겠다대체  저   미  ㅊ  놈   왜 나라세금을  저딴데다  지맘대로 펑펑 쓰고   ㅈ  ㄹ  이냐개인빚을 세금으로갚아준다는  개  소릴   하더니 이젠  청년한테  수당도주냐 니돈이냐 아우 저   시  ㅋ  좀  빨리  탄핵시켜라나라 말아먹는다,영아수당 지급
1051,2,0.0869,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",입만 벌리면 구라 치는 알콜중독자 때문에 이게 뭔난리냐,영아수당 지급
1184,2,0.0869,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",어린이들 국가가 양육하는척 하면서 좌빠리들이 빼먹은 돈을 삭감한거야 좌빠리 시민단체 요것들 어린이 이용해서 빼먹은 돈 앞으로는 어디서 빼먹나 미향이는 아직도 할머니들 앵벌이 시켜서 빼먹고 있는데,영아수당 지급
941,2,0.0869,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",차라리 간통죄를 없애라 그러면 인구 확장에 최고일거다,영아수당 지급
288,2,0.0866,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",노인 일자리 줄이고 미래를 위한 투자에 나서는 모습이네요 좋은 국가정책으로서 좋은방향인지는 모르겠으나 발전적인 분야에 투자하는 거네요,영아수당 지급
954,2,0.0864,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",현역병이랑 예비군 처우개선은 필수입니다 그동안 국가의 부름이란 이름으로 착취해온 대 청춘을 조금이라도 보상하는게 맞습니다,영아수당 지급
152,2,0.0853,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",다 집어 치우고  애낳음 억 줘라인구 소멸 직전이고 교육부 예산 복지에 돌려라교욱부 예산은 차고 넘치니 즨교조것들 노조 건물이나 짓지,영아수당 지급
84,2,0.0853,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",젊은 부모들에게 지원하는거 좋다 이거야근데 예산은 어디서 충당할건데법인세 인하등 부자감세를 주장하면서 결국 유리지갑 서민들 쥐어 짜는건가,영아수당 지급
1017,2,0.0853,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",도대체 앞에서하는 말하고 뒤에서 하는 행동하고 단 하나라도 일치되는게 없냐 인간자체가 혐오스럽네,영아수당 지급
201,2,0.0838,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",간접싱글세 시작이네 저 예산 마련은 싱글들 돈 빼앗아 주겟지 이제 슬슬 세상이랑 하직할 때가 된거같다,영아수당 지급
924,2,0.0829,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",저출산 문제를 해결하는 것은 각 가정의 개인들에게 수당명목으로 혈세를 퍼주는 정책이 아니라 각 가정에서 임신과 출산 양육에 들어가는 모든 공공비용을 정부가 책임짐으로 해결할 수 있다 임신부들에겐 출산시 까지의 비용을 정부가 부담하며 출산후 유치원 부터 고등학교 까지에 드는 양육비용을 국가와 이 사회가 함께 부담하는 양육시스템을 형성하면 된다 시간 운영되는 공공유치원의 충분한 확충과 중고등학교 교육의무화와 제반비용을 국가가 책임지면 수당명목으로 각 개인가정에 혈세를 퍼주지 않고도 능히 저출산 문제를 해결하리라 여긴다,영아수당 지급
1334,2,0.0828,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",시민단체나 공직기관 공사등에 새어나가는 돈만 잡아도 저런 복지 가능하다  가정에 따라 모든 취중생이 힘든건 아니지만 대다수가 각종 시험 자격증등 힘들게 보낸다 그중 의욕없이 돈만 받아먹는 청년들도 있다는게 문제지 ㅜㅠ,영아수당 지급
1081,2,0.0823,"예산, 국가, 삭감, 대통령, 그, 줄, 곳, 정권, 미래, 위해",국가가 책임진다고 믿은거야거짓말이 잘하는 사람들은 자기가 한말에  책임을 지지 않는다구요,영아수당 지급
