Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
678,13,0.213,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",기업규제 풀어서 기업들이 일자리를 만들어서 청년들이 취업해서 번 돈으로 월세 내게해야지 ㅋㅋㅋ 세금으로 월세를 왜 내주냐 ㅡㅡ,영아수당 지급
697,13,0.1463,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",문재인 너는 이제 끝물에 뭘또 할려고 그러냐 니가 하는거 다 망했는데 뭘 또 할려고 고문관넘,영아수당 지급
1518,13,0.1259,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",이래주니까 부모  집에서 용돈으로 놀면서  지내지 일안하고,영아수당 지급
293,13,0.113,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",돈에환장한것들 에라이쓰레기들아 너희들이 대한민국국민이냐 거지냐 정부가주는돈  처받을생각만하는잡것들아,영아수당 지급
1740,13,0.1127,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",서울아이들만 국민이냐 이딴 갈라치기정책을 왜내는거지,영아수당 지급
2057,13,0.1076,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",부동산 가격 프로 내리면 출산율 프로 이상 올라가는데무능한 정책,영아수당 지급
1020,13,0.1032,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",이제 시작임 앞으로 년 개월 동안 국유예산 다 빼돌리고 공공기관도 민간으로 다 팔거임 큰일날  정도가 아니고 폭망임,영아수당 지급
1040,13,0.103,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",지가 애를 키워봤어야지 개월이면 걸어다니는데 그치 돼통령아,영아수당 지급
1431,13,0.1027,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",에이구야 일하는 사람들은 더챙겨줘라 내돈으로 세금 내서 왜 놀고있는 백수들을 주는지 이해불가다,영아수당 지급
399,13,0.1022,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",차라리 병원비 지원을 해주지,영아수당 지급
1327,13,0.1014,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",그럼 중년 자립수당이나 생활비 지원금은 없더냐 이기야 늙으면 걍 알아서 죽으라능겨 ㅋㅋㅋㅋㅋ,영아수당 지급
113,13,0.1002,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",나는 아무혜택도 없이 애둘키웠는데 내가낸 세금을 왜 펑펑쓰냐 이나라는 대대 위한 복지는 도없다무조건 돈준다고 능사가아니다제대로 키울수있는환경을 좀 만들어라,영아수당 지급
1564,13,0.0996,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",청년들만 주지말고 중장년층도 수당을 지급 좀 해주세요,영아수당 지급
817,13,0.0994,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",육휴를 써도 급여가 반토막 나서 진짜 힘들었다 ㅡㅡ 덕분에 승진도 미뤄지고 하 누굴 위한 정책 인지 애를 낳ㅇㅏ도 문제 안낳아도 문제 ㅠㅠ,영아수당 지급
1892,13,0.0977,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",전형적인 탁상행정이네요 노인들 공공일자리 없애 버리고 대신에 손주 있는 노인들만 용돈 줄게요 하는거넹,영아수당 지급
1727,13,0.0977,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",아이를 부모가 아닌 딴사람이 키우면 아이 정신건강에 퍽이나 좋겠군요지원금을 퍼주는게 더 좋지않나자기 아이가 촉법소년이 되는걸 원치 않는 부모님들은 제발 직접 키우세요,영아수당 지급
1471,13,0.0958,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",대체 일할수있는 사지멀쩡한대 청년 인간들이 사회적약자인거지요 길가다가 누마주치면폭행일삼는게 사회적약자인가요 부모잘만나서 가오세우다 폭력휘두르는게 사회적약자인가요 민주당다음선거때 개박살나야정신못차리겠구나 근본이 공산주의라  대체이따위법안 작년부터 하지말자는 민심이유력했는데,영아수당 지급
1316,13,0.0929,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",노인 퍼주다가ㅜ나라 망한다 고속성장기 겪고 돈없으면 본인탓아님,영아수당 지급
1277,13,0.0885,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",이러니 이 일을하냐 대체 청년들이 뭐길래 이렇게까지 퍼주냐고,영아수당 지급
484,13,0.0885,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",돈 받을 욕심으로 키우지 못할 자식 낳아서 학대 하는거 아닌지 모르겠네,영아수당 지급
326,13,0.0885,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",정부부담 줄이기위해서 애를 낳지않을 애국적인 국민들 많음   ㅎ,영아수당 지급
32,13,0.0885,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",나홀로 가정은 세금만 내다 죽겠네 국가 혜택은 일절없고,영아수당 지급
1035,13,0.0885,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",그거 삭감해서 집무실 짓는다,영아수당 지급
41,13,0.0869,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",일부 오류 ㅋㅋㅋㅋ 게시판 등 별 쓰잘데기 없는 것은  작동되고 급여관련 중요한 만 오류라는 거지,영아수당 지급
1383,13,0.0869,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓",떠라이개고기정권아그럼 열심빛값고 투잡하는 청년들은 모두 비잉시 신  이냐,영아수당 지급
933,13,0.0869,"국민, 혜택, 정부, 등, 소리, 나, 거지, 위, 도움, 짓", 그럼 영아 아닌 자년 둔 부모는,영아수당 지급
