Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
579,8,0.2011,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",정상적인 부부들은 그 돈 받자고 애 낳지 않는다 본인들 경제력이나 양육상황 고려해서 세계획하지 그런돈 풀면 책임도 못질것들이 애 막 싸질러서 돈 받아먹고 애 학대하고 방치하게 되는거다 생각들좀 하고 정책 결정해라,영아수당 지급
757,8,0.1693,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",이런데 쓰이는 세금은 아깝지 않네,영아수당 지급
1734,8,0.1439,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",아 열받아경기도 초등돌봄늘리라고 엄마들그때 애학원비때문에 일시작하고 애는초부터 돌봄 사각지대내몰리고 방학돌봄이라도 초까지는해줘야방학때 애가밥이라도먹지 돌봄도 추첨에초까지만이니애들혼자다니고 엄마들 그냥 일그만두는데 지금 저게문제니 정신좀,영아수당 지급
116,8,0.1389,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",고등 학원비가 장난이 아닌데 학교샘들이 제대로 교육해서 학원을 안다녀도 되게 해주는게 도와주는거같다요즘샘들은 학원에서 배워오라하고 본인들은 뭐하시는건지,영아수당 지급
777,8,0.133,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",출산율 전세계 꼴찌인 나라가 육아혜택을 늘릴생각은 안하고 쯔쯔 요즘 아기들은 국가에서 다 키운다는 개념으로 접근해야지답답하다 자녀있는 가구는 이자감면 등 생각할 수 있는것도 무자게 많구만 답답하다,영아수당 지급
296,8,0.1319,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",제발 좀 이런 보여주기식 푼돈좀 뿌리지 말아요 정말 보육에 대해 진지하게 생각 좀 하고 정책을 내주세요푼돈쥐어주고 결국 인플레이션으로 연결되는 이런 보조금 말고요 기업에서 어린이집 설립 과징금 피하려고 주는 보조금 어떻게 쓰이는지 아세요 추가비용 지불할게 없어도 국가보조금과 별개로 무조건 어린이집 원장님 포켓으로 들어갑니다 정작 부모는 그돈 만져보지도 못하구요   지금 있는 제도들만해도 정비할거 투성이에요 이모님 월급은 얼만지 아세요,영아수당 지급
1733,8,0.1256,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",조력자를 구하기 힘드니 그 조력자역활을 나라에서 제대로 해달라는건데 조력자를 구해오면 돈을 준다는게 얼마나 멍청한짓인가,영아수당 지급
1682,8,0.1222,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",제정신일까,영아수당 지급
146,8,0.1171,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",진짜 댓글 이라고는 첨 달아 본다너무 화가 나서증고등생 키우는 대가 젤 힘들다제발 좀 생각이라는걸 좀 해라,영아수당 지급
564,8,0.1169,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",솔직히 초중고는 알아서들 하자 본인들 능력에 맞게 키워야지 뱁새가황새따라가려니 가랑이 찢어지지,영아수당 지급
353,8,0.1149,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",돈이 제일 많이 들어가는 시기는 초중고,영아수당 지급
1830,8,0.1096,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",대출 이자 지원금 ㅋㅋ,영아수당 지급
603,8,0.1093,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",아동수당은 초등학교 전까지 받는거고 양육수당은 어린이집 안보내면 받는건데 이게 신생아때 딱 년만 주는 부모급여랑 뭔 상관임 저거 합쳐서 다 주고 더 줘도 한참 모자라지,영아수당 지급
206,8,0.1093,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",정책할때 좀 연구 좀 하고 시행해라  언제 돈 많이 들어가는지 알기는 하냐  필요한곳 아닌곳 좀 판단하고 돈 뿌려라 내 세금이 너무 아깝다,영아수당 지급
472,8,0.1074,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",나는 부모가 아닌가우리 애들은 외계인,영아수당 지급
583,8,0.107,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",찬성 합니다,영아수당 지급
1290,8,0.1056,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",놈팽이 처럼 놀멍쉬멍 하는 세대들이 더 좋은 시국이구나,영아수당 지급
266,8,0.1051,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",학원비좀 어떻게 해보지 우유주고 기저기값얼마한다고열씨미모아 애초등만들어가도 학원비로 다나갈텐데  ㅠ괜히 아동학대만 늘어나는건아닌지,영아수당 지급
655,8,0.1042,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",저소득 다자녀 지원 이거 말이 되냐효과빵점속득관계없이 다자녀는 지원해라,영아수당 지급
1955,8,0.0977,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",코인충 구제보다 이게 낫지,영아수당 지급
487,8,0.097,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",이런건 진즉에 했어야됨,영아수당 지급
328,8,0.0942,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",정책을 만들때 지들 지원 받는걸로만 만드니 지들 임기때만 받아처먹고 없어지고 제발 이런 정책 멀리보고 만들어라  욕나오게 하지말고,영아수당 지급
1132,8,0.0919,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",휴 난 안뽑아서 다행이네,영아수당 지급
184,8,0.0917,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",보호종료아동 자립수당 좀 올리고 자립할때까지 지원책 좀 마련하세요 부모 보호아래 자라는 유아들도 중요하지만 부모 보호도 못받는  아이들이 더이상 세상을 등지는 일이 없도록 해야하지 않을까요,영아수당 지급
128,8,0.0914,"좀, 때, 어린이집, 제발, 비, 해, 학원, 엄마, 유치원, 학교",기저귀값 분유값이 없어서 애 않낳는줄아냐 집값 사교육비 경력단절이 문제지 거 쓸때없이 돈질하지말고 제발 좀 아무것도 하지말고 가만히 월급이나 타가라,영아수당 지급
