Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1786,3,0.1181,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",일 안하는 사업자등록번호 말소만 안했는데 꽁으로 만원 받은 사람 주위에 수두룩이다 이제는 할아버지 할머니들 그냥 양육하지 않아도 꽁으로 매달 만원 제발 쓰일 곳에만 쓰자,영아수당 지급
822,3,0.1091,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",동시에 둘이 같이 쓰는것보다 돌아가면서 쓰는게 낮지않나,영아수당 지급
191,3,0.1078,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",군인 월급 올려 주는것 까지는 좋고 이해 됨그러나 부모 급여는 왜지들이 알아서 자식 낳던가 말던가지그걸 왜 나라에서 돈을 줌한국 국고에 돈 많음그 돈 다 어디서 났슴돈이 흔한가 보네그럼 나나 좀 도와 줘 보시지이날 이때까지 개고생만 하고서도 찍소리 않고 살아 온 나를니 들은 그러다 천벌 받어,영아수당 지급
1280,3,0.1073,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",애들 키우며 세금 뼈빠지게 내 봐야 노시는 분들 용돈만 주는거네이민이 답이네,영아수당 지급
1868,3,0.1073,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",맞벌이에 조부모가못봐주는 사람지원해주는게더 맞는게아닌가 그리고 그런돈은 자식이줘야지 왜세금낭비,영아수당 지급
979,3,0.107,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",그걸 왜 국민 돈으로 줘야힘 육아 수당 주자나,영아수당 지급
1741,3,0.1059,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",이 나라 정부는 자기들과 같은 자들만 챙기는 습성이 있군 연애도 결혼도 집장만도 출산도 할 수 없는 더 많은 약자들을 위해 돈을 써라  이것도 주식이나 코인 등으로 빚 감당 어려운 자들을 탕감해 주겠다던 소리와 똑같지 않은가 대체 시장 대통령이라는 자들의 국민들은 누구인가 상휘 프로 이내에 드는 너희들 가족 친구 친척만 국민이냐  마녀가 나라를 다스리고 있으니 별 기대하겠냐만은,영아수당 지급
190,3,0.105,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",댓글 다시는 분중에 진짜 애를 낳아 키워보고 육아휴직 출산휴가 써본 사람 얼마나 되는지 의심되네요 육아휴직기간이야 그렇다 치지만 출산휴가부터는 고용노동부에서 월급 보전 해준다 하더라도 그게 결국 벌던 돈 전액에는 턱도 없이 부족한 돈이고 그러면서 들어갈 돈은 식구가 늘어나니 많아지는건 맞고 따라서 가계 부담이 늘어나는 것 맞습니다 그런거 감안해서 통상 출산휴가 쓰는 년간 지원해주는 돈이라 생각하고요 그리고 누가 만원개월 돈 받으려고 애를 낳고 방치하나요 애 낳는 과정에는 돈이 안들어가는줄 아시나보네요 ,영아수당 지급
1660,3,0.1042,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",아  진짜 정치하는새끼들은  돈을 쓸줄 모르나  하긴  지들이 힘들게  노력해서  돈을 벌어  봤어야  돈의 가치를  알지옛 말에    개같이  벌어서  정승처럼  써라   우리 선조들이 왜  이런말을 했을까  잘 생각해봐라민주당새끼들하고  똑같은짓 하고있네,영아수당 지급
1003,3,0.1032,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",모가  없는데,영아수당 지급
1690,3,0.1032,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",기가 막혀서 말이 안나온다 정치행정가가 해내는 생각이 이따위라니,영아수당 지급
1832,3,0.1032,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",그냥 세부터 자녀 수당 주면 되겠네 한명 만원 두명 만원 세명 만원,영아수당 지급
1803,3,0.1019,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",뭔 이런정책이 다 있는데  손자 있는사람 죄다 신청할것인디  나도 할란다  우리  남편도 놀고잇는데  우리조카 아들 돌봄 하면 월 만원    ㅋㅋ 웃기네 진짜 나라 돈 엄청 많나보네,영아수당 지급
1635,3,0.1008,"돈, 육아, 살, 개, 서울, 얼마나, 용돈, 손주, 자기, 도대체",맞벌이인데 중위소득으로 자르는게 말이되냐 왜 맞벌이 하겠냐 돈조금이라도 더벌라고 하는건데 더버니까 지원안해주는게 씨바 행정이야 다 줘야할거아냐 돈좀 더번다고 애봐줄사람이 있냐,영아수당 지급
