Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,reply,policy
1746,10,0.0929,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",출산율을 높이려면 집값을 떨어뜨려야 합니다 애 낳으면 돈주고 돌보는 데 돈주고 등등 수도권에 집 있고 애 낳을 수 있는 사람들에게 지원하는 제도 말고 집값과 교육비 좀 낮춰주세요 제발,영아수당 지급
843,10,0.092,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",니들이 줄거지  설마 내세금으로  기업들이,영아수당 지급
1118,10,0.0919,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",손가락은 안녕들 하신지 확인해야 될 사람들 많아요,영아수당 지급
204,10,0.0916,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",어차피 출산률 바닥이라 지원해줘도 우려스러울 정도의 재정낭비는 아니다 그리고 그 애들이커서 또 세금 내게 해야될꺼 아니냐,영아수당 지급
1626,10,0.0913,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",민주당이 하면 포풀리즘이고 니들이 하면 행복찾기야 만원으로  손주봐줄 시대인가 봐주고 싶어도 약값이 더들걸,영아수당 지급
1255,10,0.0903,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",청년수당부모수당독신자수당노인수당  아르헨티나가 그렇게 망했지지금 한국정부하는정책이 딱 망한 아르헨티나 따라가는중,영아수당 지급
921,10,0.0901,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",일단 개인이 편하고 여유로워야 아이를 낳는다 낳은 후에 주는 보상금은 의미가 없다는 걸 전 정권들이 쇼를 하면서 다 보여주지 않았나 오답노트를 따라하네,영아수당 지급
911,10,0.0901,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",아는게 돈쓰는거 밖에는 없어,영아수당 지급
1520,10,0.0901,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",취업해서 열심히 번 청년들 세금으로 눈만 높아서 취업안하고 놀고있는 백수들 용돈 주는거자나 이게 공평한가,영아수당 지급
106,10,0.0897,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",이빚은 누가 다 갚는건가년짜리 대통령이 이래 놓고 놔면 그 다음세대는 빚갚다 볼 일 다 보는거냐,영아수당 지급
1278,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",사실 이미 중소기업 청년에겐 무수히 많은 혜택을 주고있음 혜택이 문제가 아님,영아수당 지급
842,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",아니 못쓰는 사람도 줘야지 ㅋㅋㅋ 이런 머긋은 발상은 누가 머리에서 나오나,영아수당 지급
1916,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",왜  서울만 세금은 다받아가며  다른지역은  상대적박탈감 느낀다,영아수당 지급
1279,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",또 세금 폭탄 대기중이다일 하는게 죄인 대한민국,영아수당 지급
1921,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",진짜 쓸데없이 퍼주기 대장,영아수당 지급
199,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",나만 빚내가면 월급주고 세금내고 힘들어 죽겠고나만 다 뺏기는것 같음ㅜㅜ,영아수당 지급
238,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",나도 살기힘들다  월급쟁이 세금은 또 얼마나 더 걷어갈거냐,영아수당 지급
1924,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",정책 좋은데 왜 다들 개거품,영아수당 지급
696,10,0.0885,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",문재인 너가 부동산폭등시켜서 청년들 결혼기피 출산기피 가정이혼 다 니가 잘못한거야 정신병자,영아수당 지급
984,10,0.0881,"세금, 또, 내, 니, 연금, 빚, 눈, 그, 자기, 퍼",조부모 없는 사람은 서럽겠다 맡길대도 없고 수당도 없고 ㅎ 서울만 사람인가,영아수당 지급
